deaths_0-5_circ,deaths_25+_circ,deaths_5-25_circ,Population_0-5,Population_25+,Population_5-25,STATEFP,COUNTYFP,mort_0-5_circ,mort_5-25_circ,mort_25+_circ,deaths_0-5_resp,deaths_25+_resp,deaths_5-25_resp,mort_0-5_resp,mort_5-25_resp,mort_25+_resp,deaths_0-5_all,deaths_25+_all,deaths_5-25_all,mort_0-5_all,mort_5-25_all,mort_25+_all,deaths_0-5_circ_est,deaths_25+_circ_est,deaths_5-25_circ_est,mort_0-5_circ_est,mort_5-25_circ_est,mort_25+_circ_est,deaths_0-5_resp_est,deaths_25+_resp_est,deaths_5-25_resp_est,mort_0-5_resp_est,mort_5-25_resp_est,mort_25+_resp_est,deaths_0-5_all_est,deaths_25+_all_est,deaths_5-25_all_est,mort_0-5_all_est,mort_5-25_all_est,mort_25+_all_est
,82.0,,958.0,12423.0,3776.0,5,135,,,0.006601,,27.0,,,,0.002173,,273.0,,,,0.021975,,82.0,,,,0.006601,,27.0,,,,0.002173,,273.0,,,,0.021975
,36.0,,596.0,9237.0,2706.0,5,137,,,0.003897,,,,,,,,158.0,,,,0.017105,,36.0,,,,0.003897,,,,,,,,158.0,,,,0.017105
,143.0,,2656.0,27112.0,10119.0,5,139,,,0.005274,,49.0,,,,0.001807,,507.0,,,,0.0187,,143.0,,,,0.005274,,49.0,,,,0.001807,,507.0,,,,0.0187
,81.0,,865.0,12280.0,3483.0,5,141,,,0.006596,,16.0,,,,0.001303,,233.0,,,,0.018974,,81.0,,,,0.006596,,16.0,,,,0.001303,,233.0,,,,0.018974
,618.0,,15943.0,138159.0,73947.0,5,143,,,0.004473,,78.0,,,,0.000565,22.0,1549.0,11.0,0.00138,0.000149,0.011212,,618.0,,,,0.004473,,78.0,,,,0.000565,22.0,1549.0,11.0,0.00138,0.000149,0.011212
,270.0,,5115.0,51263.0,22885.0,5,145,,,0.005267,,111.0,,,,0.002165,15.0,815.0,,0.002933,,0.015898,,270.0,,,,0.005267,,111.0,,,,0.002165,15.0,815.0,,0.002933,,0.015898
,23.0,,369.0,4738.0,1534.0,5,147,,,0.004854,,,,,,,,101.0,,,,0.021317,,23.0,,,,0.004854,,,,,,,,101.0,,,,0.021317
,86.0,,1292.0,14576.0,5684.0,5,149,,,0.0059,,10.0,,,,0.000686,,232.0,,,,0.015917,,86.0,,,,0.0059,,10.0,,,,0.000686,,232.0,,,,0.015917
,2997.0,,97792.0,1159874.0,390038.0,6,1,,,0.002584,,852.0,,,,0.000735,81.0,9713.0,114.0,0.000828,0.000292,0.008374,,2997.0,,,,0.002584,,852.0,,,,0.000735,81.0,9713.0,114.0,0.000828,0.000292,0.008374
,,,30.0,801.0,236.0,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
