,B24031_001E,B24031_002E,B24031_003E,B24031_004E,B24031_005E,B24031_006E,B24031_007E,B24031_008E,B24031_009E,B24031_010E,B24031_011E,B24031_012E,B24031_013E,B24031_014E,B24031_015E,B24031_016E,B24031_017E,B24031_018E,B24031_019E,B24031_020E,B24031_021E,B24031_022E,B24031_023E,B24031_024E,B24031_025E,B24031_026E,B24031_027E,state,county
991,30885.0,46020.0,24803.0,64438.0,40789.0,31885.0,60398.0,19476.0,42083.0,62917.0,29239.0,-666666666.0,29886.0,36250.0,-666666666.0,28359.0,29655.0,-666666666.0,19267.0,31593.0,37590.0,29227.0,4714.0,-666666666.0,4714.0,31590.0,31157.0,28,153
992,32234.0,105167.0,81250.0,105583.0,54157.0,37684.0,13750.0,14286.0,41183.0,40826.0,58333.0,21437.0,41034.0,41034.0,-666666666.0,43125.0,43466.0,-666666666.0,-666666666.0,31119.0,30980.0,31452.0,12955.0,24306.0,10938.0,22250.0,24507.0,28,041
993,32155.0,47708.0,48681.0,-666666666.0,43059.0,35202.0,36831.0,23929.0,41455.0,41381.0,50769.0,22279.0,41075.0,41950.0,32083.0,27733.0,50190.0,-666666666.0,24779.0,30781.0,30833.0,30754.0,15754.0,42521.0,14969.0,31510.0,41151.0,28,093
994,24183.0,30208.0,30208.0,-666666666.0,45469.0,29773.0,38750.0,13446.0,40500.0,40938.0,-666666666.0,-666666666.0,32500.0,39135.0,28512.0,15750.0,58472.0,-666666666.0,8333.0,22006.0,22250.0,21793.0,16660.0,21397.0,5341.0,23571.0,35938.0,28,119
995,32450.0,57065.0,30616.0,66607.0,41321.0,57028.0,42500.0,17793.0,50250.0,50333.0,39861.0,31281.0,25809.0,26103.0,24615.0,46984.0,59115.0,148039.0,29423.0,31053.0,30750.0,31164.0,13963.0,15750.0,13486.0,20449.0,53459.0,28,109
996,27332.0,53500.0,28750.0,69271.0,31772.0,30490.0,43529.0,16836.0,60109.0,60130.0,60077.0,26855.0,28879.0,28672.0,28958.0,14107.0,24271.0,-666666666.0,8466.0,32181.0,39151.0,24787.0,12521.0,24271.0,10216.0,23224.0,31667.0,28,079
997,26949.0,49583.0,26961.0,90602.0,24550.0,34559.0,37955.0,16821.0,32500.0,38750.0,27125.0,20893.0,41170.0,41473.0,40724.0,26117.0,41964.0,-666666666.0,25500.0,27715.0,28781.0,27423.0,18096.0,24487.0,13455.0,21316.0,35096.0,28,099
998,39129.0,85341.0,101087.0,85016.0,37012.0,52531.0,54389.0,28919.0,45696.0,45306.0,46982.0,54865.0,44744.0,52721.0,34904.0,35708.0,46158.0,75313.0,25037.0,41167.0,39391.0,42231.0,15874.0,26782.0,14292.0,31307.0,46405.0,28,121
999,27734.0,25139.0,25278.0,4667.0,29792.0,35783.0,35089.0,20884.0,37326.0,39375.0,34402.0,35035.0,39236.0,36090.0,50500.0,29917.0,40819.0,-666666666.0,20568.0,29063.0,33860.0,26904.0,13750.0,16563.0,12930.0,31360.0,32355.0,28,151
1000,34394.0,47031.0,36537.0,92083.0,35441.0,44485.0,25795.0,26333.0,37941.0,38088.0,34750.0,-666666666.0,29948.0,29167.0,42813.0,8984.0,26429.0,-666666666.0,2499.0,32125.0,39354.0,27061.0,26719.0,-666666666.0,30313.0,30000.0,35203.0,28,077
1001,28349.0,44706.0,43309.0,61827.0,39647.0,41250.0,20156.0,15313.0,32143.0,30833.0,50750.0,28676.0,29750.0,22454.0,-666666666.0,17106.0,66250.0,-666666666.0,15950.0,26949.0,18594.0,31543.0,9123.0,3913.0,9561.0,32262.0,30791.0,28,111
1002,28172.0,38629.0,38831.0,-666666666.0,30707.0,31467.0,24750.0,11653.0,31321.0,30375.0,31700.0,11607.0,26364.0,24688.0,120458.0,12250.0,33977.0,-666666666.0,7440.0,29547.0,34722.0,24205.0,16296.0,-666666666.0,16528.0,15685.0,29415.0,28,017
1003,36098.0,38667.0,38667.0,-666666666.0,59420.0,42778.0,35682.0,36467.0,44118.0,2499.0,52917.0,83769.0,79500.0,85408.0,-666666666.0,24338.0,38272.0,-666666666.0,21735.0,32313.0,25201.0,39375.0,10707.0,-666666666.0,10685.0,17857.0,36755.0,28,015
