TotalEnergyExpendituremilliondollars,Totalenergyexpenditurepercapitadollarspercapita,TotalResidentialEnergyExpendituremilliondollars,ResidentialEnergyExpenditurepercapitadollarspercapita,TotalTransportationEnergyExpendituremildollars,TransportationEnergyExpenditurepercapitadollars,STATEFP,COUNTYFP
138992.4,3522.2,22860,579.29,77790,1971.27,05,111
138992.4,3522.2,22860,579.29,77790,1971.27,05,113
138992.4,3522.2,22860,579.29,77790,1971.27,05,115
138992.4,3522.2,22860,579.29,77790,1971.27,05,117
138992.4,3522.2,22860,579.29,77790,1971.27,05,119
138992.4,3522.2,22860,579.29,77790,1971.27,05,121
138992.4,3522.2,22860,579.29,77790,1971.27,05,123
138992.4,3522.2,22860,579.29,77790,1971.27,05,125
138992.4,3522.2,22860,579.29,77790,1971.27,05,127
138992.4,3522.2,22860,579.29,77790,1971.27,05,129
138992.4,3522.2,22860,579.29,77790,1971.27,05,131
138992.4,3522.2,22860,579.29,77790,1971.27,05,133
138992.4,3522.2,22860,579.29,77790,1971.27,05,135
138992.4,3522.2,22860,579.29,77790,1971.27,05,137
138992.4,3522.2,22860,579.29,77790,1971.27,05,139
138992.4,3522.2,22860,579.29,77790,1971.27,05,141
138992.4,3522.2,22860,579.29,77790,1971.27,05,143
138992.4,3522.2,22860,579.29,77790,1971.27,05,145
138992.4,3522.2,22860,579.29,77790,1971.27,05,147
138992.4,3522.2,22860,579.29,77790,1971.27,05,149
18431.2,3238.5,3672,645.2,9193,1615.28,06,001
18431.2,3238.5,3672,645.2,9193,1615.28,06,003
18431.2,3238.5,3672,645.2,9193,1615.28,06,005
18431.2,3238.5,3672,645.2,9193,1615.28,06,007
18431.2,3238.5,3672,645.2,9193,1615.28,06,009
18431.2,3238.5,3672,645.2,9193,1615.28,06,011
18431.2,3238.5,3672,645.2,9193,1615.28,06,013
18431.2,3238.5,3672,645.2,9193,1615.28,06,015
18431.2,3238.5,3672,645.2,9193,1615.28,06,017
18431.2,3238.5,3672,645.2,9193,1615.28,06,019
18431.2,3238.5,3672,645.2,9193,1615.28,06,021
18431.2,3238.5,3672,645.2,9193,1615.28,06,023
18431.2,3238.5,3672,645.2,9193,1615.28,06,025
18431.2,3238.5,3672,645.2,9193,1615.28,06,027
18431.2,3238.5,3672,645.2,9193,1615.28,06,029
18431.2,3238.5,3672,645.2,9193,1615.28,06,031
18431.2,3238.5,3672,645.2,9193,1615.28,06,033
18431.2,3238.5,3672,645.2,9193,1615.28,06,035
18431.2,3238.5,3672,645.2,9193,1615.28,06,037
18431.2,3238.5,3672,645.2,9193,1615.28,06,039
18431.2,3238.5,3672,645.2,9193,1615.28,06,041
18431.2,3238.5,3672,645.2,9193,1615.28,06,043
18431.2,3238.5,3672,645.2,9193,1615.28,06,045
18431.2,3238.5,3672,645.2,9193,1615.28,06,047
18431.2,3238.5,3672,645.2,9193,1615.28,06,049
18431.2,3238.5,3672,645.2,9193,1615.28,06,051
18431.2,3238.5,3672,645.2,9193,1615.28,06,053
18431.2,3238.5,3672,645.2,9193,1615.28,06,055
18431.2,3238.5,3672,645.2,9193,1615.28,06,057
18431.2,3238.5,3672,645.2,9193,1615.28,06,059
18431.2,3238.5,3672,645.2,9193,1615.28,06,061
