ISO3,year,value,lower_uncertainty,upper_uncertainty,id
WLF,2005,,,,876
WSM,2005,0.889203250408173,,,882
BMU,2005,,,,60
CAN,2005,0.907230377197266,,,124
GRL,2005,0.911524415016174,,,304
SPM,2005,0.963243126869202,,,666
USA,2005,0.68662440776825,,,840
ARG,2005,0.750718176364899,,,32
BOL,2005,0.810128509998322,,,68
BRA,2005,0.780526697635651,,,76
BVT,2005,,,,74
CHL,2005,0.885171413421631,,,152
COL,2005,0.719093143939972,,,170
ECU,2005,0.802915930747986,,,218
FLK,2005,0.950573205947876,,,238
GUF,2005,0.993349313735962,,,254
GUY,2005,0.941211044788361,,,328
PER,2005,0.917360424995422,,,604
PRY,2005,0.696218609809875,,,600
SGS,2005,,,,239
SUR,2005,0.993232071399689,,,740
URY,2005,0.354720205068588,,,858
VEN,2005,0.863604426383972,,,862
BLZ,2005,0.917868912220001,,,84
CRI,2005,0.676818609237671,,,188
GTM,2005,0.628715693950653,,,320
HND,2005,0.728409826755524,,,340
MEX,2005,0.738757908344269,,,484
NIC,2005,0.621212482452393,,,558
PAN,2005,0.779214560985565,,,591
SLV,2005,0.375883460044861,,,222
ABW,2005,,,,533
AIA,2005,,,,660
ATG,2005,0.979746103286743,,,28
BES,2005,0.970491230487823,,,535
BHS,2005,0.937224984169006,,,44
BRB,2005,0.906231641769409,,,52
CUB,2005,0.573058485984802,,,192
CUW,2005,0.955472111701965,,,531
CYM,2005,,,,136
DMA,2005,0.922697246074677,,,212
DOM,2005,0.631361901760101,,,214
GLP,2005,0.924124002456665,,,312
GRD,2005,0.915650844573975,,,308
HTI,2005,0.496375650167465,,,332
JAM,2005,0.691341936588287,,,388
KNA,2005,0.973038733005524,,,659
LCA,2005,,,,662
MAF,2005,,,,663
MSR,2005,,,,500
MTQ,2005,0.977035164833069,,,474
PRI,2005,0.539025366306305,,,630
TCA,2005,0.977795660495758,,,796
TTO,2005,0.896554589271545,,,780
VCT,2005,,,,670
VGB,2005,,,,92
VIR,2005,,,,850
CHN,2005,0.631071627140045,,,156
HKG,2005,0.787422835826874,,,344
JPN,2005,0.87421840429306,,,392
KOR,2005,0.830368459224701,,,410
MAC,2005,,,,446
MNG,2005,0.502677381038666,,,496
PRK,2005,0.811273992061615,,,408
AFG,2005,0.766301929950714,,,4
BGD,2005,0.369609653949738,,,50
BTN,2005,0.839903354644775,,,64
IND,2005,0.605598628520966,,,356
IRN,2005,0.903779745101929,,,364
LKA,2005,0.693694829940796,,,144
MDV,2005,,,,462
NPL,2005,0.76788604259491,,,524
PAK,2005,0.873290657997131,,,586
BRN,2005,0.943761646747589,,,96
IDN,2005,0.752927899360657,,,360
KHM,2005,0.741838693618774,,,116
LAO,2005,0.920904278755188,,,418
MMR,2005,0.821827828884125,,,104
MYS,2005,0.787677407264709,,,458
PHL,2005,0.649319231510162,,,608
SGP,2005,0.301266938447952,,,702
THA,2005,0.703476786613464,,,764
TLS,2005,0.765234410762787,,,626
VNM,2005,0.731085658073425,,,704
KAZ,2005,0.631200730800629,,,398
KGZ,2005,0.732892334461212,,,417
TJK,2005,0.794569432735443,,,762
TKM,2005,0.660402119159698,,,795
UZB,2005,0.695758044719696,,,860
ARE,2005,1.0,,,784
ARM,2005,0.719142436981201,,,51
AZE,2005,0.716215848922729,,,31
BHR,2005,1.0,,,48
CYP,2005,1.0,,,196
GEO,2005,0.730379283428192,,,268
IRQ,2005,0.990150809288025,,,368
ISR,2005,0.939029216766357,,,376
JOR,2005,1.0,,,400
