FIPS,County_State,WaterStressERA
18043,Floyd_Indiana,0.431
18045,Fountain_Indiana,0.009
18047,Franklin_Indiana,0.009
18049,Fulton_Indiana,0.03
18051,Gibson_Indiana,0.055
18053,Grant_Indiana,0.023
18055,Greene_Indiana,0.005
18057,Hamilton_Indiana,0.155
18059,Hancock_Indiana,0.02
18061,Harrison_Indiana,0.006
18063,Hendricks_Indiana,0.023
18065,Henry_Indiana,0.017
18067,Howard_Indiana,0.059
18069,Huntington_Indiana,0.015
18071,Jackson_Indiana,0.015
18073,Jasper_Indiana,0.082
18075,Jay_Indiana,0.014
18077,Jefferson_Indiana,2.561
18079,Jennings_Indiana,0.005
18081,Johnson_Indiana,0.04
18083,Knox_Indiana,0.035
18085,Kosciusko_Indiana,0.044
18087,LaGrange_Indiana,0.045
18089,Lake_Indiana,2.563
18091,LaPorte_Indiana,0.089
18093,Lawrence_Indiana,0.013
18095,Madison_Indiana,0.038
18097,Marion_Indiana,0.592
18099,Marshall_Indiana,0.018
18101,Martin_Indiana,0.003
18103,Miami_Indiana,0.022
18105,Monroe_Indiana,0.034
18107,Montgomery_Indiana,0.012
18109,Morgan_Indiana,0.12
18111,Newton_Indiana,0.011
18113,Noble_Indiana,0.023
18115,Ohio_Indiana,0.009
18117,Orange_Indiana,0.002
18119,Owen_Indiana,0.005
18121,Parke_Indiana,0.005
18123,Perry_Indiana,0.005
18125,Pike_Indiana,0.873
18127,Porter_Indiana,1.958
18129,Posey_Indiana,0.032
18131,Pulaski_Indiana,0.026
18133,Putnam_Indiana,0.014
18135,Randolph_Indiana,0.015
18137,Ripley_Indiana,0.005
18139,Rush_Indiana,0.006
18141,St. Joseph_Indiana,0.102
18143,Scott_Indiana,0.019
18145,Shelby_Indiana,0.023
18147,Spencer_Indiana,0.052
18149,Starke_Indiana,0.024
18151,Steuben_Indiana,0.018
18153,Sullivan_Indiana,0.739
18155,Switzerland_Indiana,0.006
18157,Tippecanoe_Indiana,0.058
