'state_id','county_id','value','start_date','end_date','source','dataset'),
(22,1,9.7,'2015-01-01','2015-12-31',12,69),
(17,117,9.19,'2015-01-01','2015-12-31',12,69),
(47,173,8.35,'2015-01-01','2015-12-31',12,69),
(48,31,6.22,'2015-01-01','2015-12-31',12,69),
(48,331,8.62,'2015-01-01','2015-12-31',12,69),
(48,67,8.48,'2015-01-01','2015-12-31',12,69),
(8,103,5.63,'2015-01-01','2015-12-31',12,69),
(17,111,9.15,'2015-01-01','2015-12-31',12,69),
(20,129,5.59,'2015-01-01','2015-12-31',12,69),
(26,139,8.69,'2015-01-01','2015-12-31',12,69),
(35,23,4.09,'2015-01-01','2015-12-31',12,69),
(42,85,9.95,'2015-01-01','2015-12-31',12,69),
(13,161,8.27,'2015-01-01','2015-12-31',12,69),
(1,13,8.68,'2015-01-01','2015-12-31',12,69),
(5,97,6.78,'2015-01-01','2015-12-31',12,69),
(8,14,7.92,'2015-01-01','2015-12-31',12,69),
(13,269,8.52,'2015-01-01','2015-12-31',12,69),
(18,181,9.84,'2015-01-01','2015-12-31',12,69),
(20,31,7.02,'2015-01-01','2015-12-31',12,69),
(29,175,7.75,'2015-01-01','2015-12-31',12,69),
(29,187,8.85,'2015-01-01','2015-12-31',12,69),
(27,79,7.0,'2015-01-01','2015-12-31',12,69),
(28,61,10.17,'2015-01-01','2015-12-31',12,69),
(42,43,11.54,'2015-01-01','2015-12-31',12,69),
(46,57,6.47,'2015-01-01','2015-12-31',12,69),
(47,105,9.14,'2015-01-01','2015-12-31',12,69),
(48,297,9.29,'2015-01-01','2015-12-31',12,69),
(51,680,7.57,'2015-01-01','2015-12-31',12,69),
(55,135,7.98,'2015-01-01','2015-12-31',12,69),
(54,95,8.26,'2015-01-01','2015-12-31',12,69),
(1,93,8.61,'2015-01-01','2015-12-31',12,69),
(55,61,8.69,'2015-01-01','2015-12-31',12,69),
(18,137,9.02,'2015-01-01','2015-12-31',12,69),
(20,115,6.73,'2015-01-01','2015-12-31',12,69),
(28,101,8.64,'2015-01-01','2015-12-31',12,69),
(13,249,8.65,'2015-01-01','2015-12-31',12,69),
(13,201,8.34,'2015-01-01','2015-12-31',12,69),
(38,9,6.22,'2015-01-01','2015-12-31',12,69),
(51,610,10.75,'2015-01-01','2015-12-31',12,69),
(48,493,7.89,'2015-01-01','2015-12-31',12,69),
(42,97,10.34,'2015-01-01','2015-12-31',12,69),
(13,179,8.07,'2015-01-01','2015-12-31',12,69),
(22,71,8.75,'2015-01-01','2015-12-31',12,69),
(29,199,8.33,'2015-01-01','2015-12-31',12,69),
(31,83,6.09,'2015-01-01','2015-12-31',12,69),
(36,61,9.36,'2015-01-01','2015-12-31',12,69),
(37,169,7.95,'2015-01-01','2015-12-31',12,69),
(38,59,4.7,'2015-01-01','2015-12-31',12,69),
(42,105,5.94,'2015-01-01','2015-12-31',12,69),
(5,147,8.65,'2015-01-01','2015-12-31',12,69),
(8,89,5.77,'2015-01-01','2015-12-31',12,69),
(18,131,9.48,'2015-01-01','2015-12-31',12,69),
(19,91,7.41,'2015-01-01','2015-12-31',12,69),
(21,239,9.5,'2015-01-01','2015-12-31',12,69),
(20,189,6.55,'2015-01-01','2015-12-31',12,69),
(29,25,8.15,'2015-01-01','2015-12-31',12,69),
(34,13,8.92,'2015-01-01','2015-12-31',12,69),
(31,19,6.54,'2015-01-01','2015-12-31',12,69),
(40,37,7.33,'2015-01-01','2015-12-31',12,69),
(41,3,8.24,'2015-01-01','2015-12-31',12,69),
(46,73,6.11,'2015-01-01','2015-12-31',12,69),
(47,15,8.61,'2015-01-01','2015-12-31',12,69),
(48,441,7.1,'2015-01-01','2015-12-31',12,69),
(54,93,5.2,'2015-01-01','2015-12-31',12,69),
(50,21,7.1,'2015-01-01','2015-12-31',12,69),
(1,33,9.15,'2015-01-01','2015-12-31',12,69),
(8,83,4.47,'2015-01-01','2015-12-31',12,69),
(20,97,6.69,'2015-01-01','2015-12-31',12,69),
(20,209,7.94,'2015-01-01','2015-12-31',12,69),
(21,179,9.76,'2015-01-01','2015-12-31',12,69),
(37,103,8.05,'2015-01-01','2015-12-31',12,69),
(16,55,9.13,'2015-01-01','2015-12-31',12,69),
(47,43,8.01,'2015-01-01','2015-12-31',12,69),
(48,155,6.95,'2015-01-01','2015-12-31',12,69),
(27,97,5.58,'2015-01-01','2015-12-31',12,69),
(51,177,8.61,'2015-01-01','2015-12-31',12,69),
(37,25,9.55,'2015-01-01','2015-12-31',12,69),
(42,113,7.07,'2015-01-01','2015-12-31',12,69),
(38,45,5.79,'2015-01-01','2015-12-31',12,69),
(39,83,10.0,'2015-01-01','2015-12-31',12,69),
(42,117,6.72,'2015-01-01','2015-12-31',12,69),
(51,183,8.38,'2015-01-01','2015-12-31',12,69),
(48,179,5.35,'2015-01-01','2015-12-31',12,69),
(37,71,8.67,'2015-01-01','2015-12-31',12,69),
(31,69,4.3,'2015-01-01','2015-12-31',12,69),
(48,191,5.88,'2015-01-01','2015-12-31',12,69),
(31,23,7.82,'2015-01-01','2015-12-31',12,69),
(36,111,7.23,'2015-01-01','2015-12-31',12,69),
(51,197,8.05,'2015-01-01','2015-12-31',12,69),
(38,91,5.56,'2015-01-01','2015-12-31',12,69),
(5,85,9.27,'2015-01-01','2015-12-31',12,69),
(5,75,8.78,'2015-01-01','2015-12-31',12,69),
(29,161,7.96,'2015-01-01','2015-12-31',12,69),
(26,71,5.66,'2015-01-01','2015-12-31',12,69),
(27,99,6.89,'2015-01-01','2015-12-31',12,69),
(36,15,5.77,'2015-01-01','2015-12-31',12,69),
(37,159,9.67,'2015-01-01','2015-12-31',12,69),
(48,243,4.65,'2015-01-01','2015-12-31',12,69),
(51,520,8.06,'2015-01-01','2015-12-31',12,69),
(48,261,9.12,'2015-01-01','2015-12-31',12,69),
(1,45,8.23,'2015-01-01','2015-12-31',12,69),
(5,101,5.72,'2015-01-01','2015-12-31',12,69),
(13,193,8.71,'2015-01-01','2015-12-31',12,69),
(31,91,4.91,'2015-01-01','2015-12-31',12,69),
(18,143,9.23,'2015-01-01','2015-12-31',12,69),
(19,121,7.62,'2015-01-01','2015-12-31',12,69),
(18,79,8.99,'2015-01-01','2015-12-31',12,69),
(20,135,5.58,'2015-01-01','2015-12-31',12,69),
(21,189,7.54,'2015-01-01','2015-12-31',12,69),
(19,75,8.16,'2015-01-01','2015-12-31',12,69),
(27,153,5.45,'2015-01-01','2015-12-31',12,69),
(28,153,10.51,'2015-01-01','2015-12-31',12,69),
(36,123,7.0,'2015-01-01','2015-12-31',12,69),
(37,109,8.92,'2015-01-01','2015-12-31',12,69),
(31,115,4.35,'2015-01-01','2015-12-31',12,69),
(47,119,8.0,'2015-01-01','2015-12-31',12,69),
(48,103,4.78,'2015-01-01','2015-12-31',12,69),
(48,63,8.29,'2015-01-01','2015-12-31',12,69),
(51,37,7.92,'2015-01-01','2015-12-31',12,69),
(54,15,6.84,'2015-01-01','2015-12-31',12,69),
(18,117,8.47,'2015-01-01','2015-12-31',12,69),
(19,49,7.38,'2015-01-01','2015-12-31',12,69),
(19,167,8.05,'2015-01-01','2015-12-31',12,69),
(12,27,6.42,'2015-01-01','2015-12-31',12,69),
(21,201,9.33,'2015-01-01','2015-12-31',12,69),
(21,29,9.29,'2015-01-01','2015-12-31',12,69),
(13,157,8.45,'2015-01-01','2015-12-31',12,69),
(16,21,9.06,'2015-01-01','2015-12-31',12,69),
(31,71,5.16,'2015-01-01','2015-12-31',12,69),
(45,89,7.75,'2015-01-01','2015-12-31',12,69),
(55,123,7.98,'2015-01-01','2015-12-31',12,69),
(45,69,8.37,'2015-01-01','2015-12-31',12,69),
(48,111,6.67,'2015-01-01','2015-12-31',12,69),
(51,670,8.62,'2015-01-01','2015-12-31',12,69),
(48,55,7.32,'2015-01-01','2015-12-31',12,69),
(41,13,7.7,'2015-01-01','2015-12-31',12,69),
(29,43,8.45,'2015-01-01','2015-12-31',12,69),
(27,147,6.89,'2015-01-01','2015-12-31',12,69),
(55,37,5.85,'2015-01-01','2015-12-31',12,69),
(31,185,7.3,'2015-01-01','2015-12-31',12,69),
(17,101,9.74,'2015-01-01','2015-12-31',12,69),
(37,187,7.28,'2015-01-01','2015-12-31',12,69),
(17,9,8.8,'2015-01-01','2015-12-31',12,69),
(8,7,2.61,'2015-01-01','2015-12-31',12,69),
(47,189,8.57,'2015-01-01','2015-12-31',12,69),
(46,107,5.11,'2015-01-01','2015-12-31',12,69),
(55,15,8.59,'2015-01-01','2015-12-31',12,69),
(18,91,8.91,'2015-01-01','2015-12-31',12,69),
